Year,Exports,Imports
2000,0,50
2001,0,27
2002,0,51
2003,0,75
2004,0,82
2005,0,348
2006,0,630
2007,3,1117
2008,6,808
2009,20,449
2010,16,512
2011,12,413
2012,17,313
2013,32,400
2014,11,150
2015,21,149
